artist,song,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre_class
Led Zeppelin,"For Your Life - Live: O2 Arena, London - December 10, 2007",0.000119,0.442,400427,0.84,0.513,7,0.768,-9.332,1,0.0528,89.958,4,0.472,0
Led Zeppelin,"Trampled Under Foot - Live: O2 Arena, London - December 10, 2007",2.01e-05,0.411,379560,0.928,0.875,7,0.95,-8.142,1,0.0469,112.828,4,0.425,0
Led Zeppelin,"Nobody's Fault But Mine - Live: O2 Arena, London - December 10, 2007",0.000147,0.187,403880,0.896,0.776,7,0.96,-7.791,1,0.0747,92.893,4,0.348,0
Led Zeppelin,"No Quarter - Live: O2 Arena, London - December 10, 2007",0.00271,0.306,561653,0.613,0.581,5,0.777,-10.525,0,0.0331,125.933,4,0.183,0
Led Zeppelin,"Since I've Been Loving You - Live: O2 Arena, London - December 10, 2007",0.000134,0.37,472253,0.539,0.437,5,0.986,-11.7,0,0.038,117.393,3,0.0877,0
Led Zeppelin,"Dazed And Confused - Live: O2 Arena, London - December 10, 2007",0.00107,0.258,704173,0.63,0.576,7,0.968,-12.42,1,0.0561,106.409,4,0.15,0
Led Zeppelin,"Stairway To Heaven - Live: O2 Arena, London - December 10, 2007",0.01,0.23,529267,0.475,0.0046,7,0.742,-10.349,0,0.0316,74.681,4,0.184,0
Led Zeppelin,"The Song Remains The Same - Live: O2 Arena, London - December 10, 2007",4.53e-06,0.245,346787,0.898,0.44,0,0.687,-9.364,0,0.0599,144.215,4,0.503,0
Led Zeppelin,"Misty Mountain Hop - Live: O2 Arena, London - December 10, 2007",5.65e-05,0.369,308333,0.87,0.0543,2,0.976,-7.267,1,0.0398,135.2,4,0.461,0
Led Zeppelin,"Kashmir - Live: O2 Arena, London - December 10, 2007",7.12e-05,0.344,546600,0.641,0.0321,2,0.976,-8.138,1,0.0303,78.541,3,0.147,0
Led Zeppelin,"Whole Lotta Love - Live: O2 Arena, London - December 10, 2007",0.000142,0.196,446373,0.909,0.658,2,0.968,-8.932,1,0.111,90.505,4,0.242,0
Led Zeppelin,"Rock And Roll - Live: O2 Arena, London - December 10, 2007",1.24e-05,0.25,274960,0.916,0.871,7,0.697,-8.397,1,0.0605,165.608,4,0.543,0
Led Zeppelin,Good Times Bad Times,0.0803,0.457,167733,0.718,2.13e-06,2,0.0513,-9.994,1,0.0881,93.395,4,0.686,0
Led Zeppelin,Communication Breakdown,0.161,0.384,148560,0.95,7.15e-06,2,0.61,-7.264,1,0.149,175.055,4,0.454,0
Led Zeppelin,Dazed And Confused,0.0919,0.262,388453,0.539,0.00803,2,0.0889,-10.264,1,0.0451,87.197,3,0.436,0
Led Zeppelin,Babe I'm Gonna Leave You,0.365,0.408,402920,0.465,6.01e-05,4,0.215,-11.772,0,0.0338,135.668,4,0.151,0
